lang	case_id	equiv_class	smoke	expected
python_3	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
javascript	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
erlang	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
typescript	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
ruby	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
lua	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
php	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
dart	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
rust	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
go	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
swift	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
java	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
kotlin	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
csharp	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
c	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
cpp	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
gdscript	cm_p1_comment_before_stmt__t0	p1_comment_before_stmt	yes	1
python_3	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
javascript	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
erlang	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
typescript	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
ruby	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
lua	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
php	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
dart	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
rust	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
go	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
swift	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
java	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
kotlin	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
csharp	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
c	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
cpp	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
gdscript	cm_p1_comment_before_stmt__t1	p1_comment_before_stmt	no	5
python_3	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
javascript	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
erlang	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
typescript	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
ruby	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
lua	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
php	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
dart	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
rust	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
go	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
swift	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
java	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
kotlin	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
csharp	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
c	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
cpp	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
gdscript	cm_p1_comment_before_stmt__t2	p1_comment_before_stmt	no	-3
python_3	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
javascript	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
erlang	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
typescript	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
ruby	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
lua	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
php	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
dart	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
rust	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
go	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
swift	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
java	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
kotlin	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
csharp	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
c	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
cpp	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
